"id","year","month","targetAmount","actualAmount","productType","createdBy","createdTime","updatedBy","updatedTime","businessType"
"170","2017","4","","20004336.0000","瓶片","管理员","2017-04-24 09:00:00","","","邦帮贷"
"169","2017","4","","42259296.0000","PET","管理员","2017-04-24 09:00:00","","","邦帮贷"
"168","2017","4","","5458502.4000","涤纶短纤","管理员","2017-04-24 09:00:00","","","邦帮贷"
"167","2017","4","","19045200.0000","粘胶","管理员","2017-04-24 09:00:00","","","邦帮贷"
"166","2017","4","","144089147.0200","TOTAL","管理员","2017-04-24 09:00:00","","","邦帮贷"
"165","2017","4","","9282273.0000","原料","管理员","2017-04-24 09:00:00","","","邦帮贷"
"164","2017","4","","48039539.6200","涤纶丝","管理员","2017-04-24 09:00:00","","","邦帮贷"
"114","2017","4","","242846.4258","TOTAL","管理员","2017-04-22 23:00:01","管理员","2017-04-24 09:00:00","化纤产品"
"113","2017","4","","4.0000","配件","管理员","2017-04-22 23:00:01","管理员","2017-04-24 09:00:00","自营"
"112","2017","4","","151.0000","邦帮订","管理员","2017-04-22 23:00:01","管理员","2017-04-24 09:00:00","自营"
"111","2017","4","","-57.6000","辅料","管理员","2017-04-22 23:00:01","管理员","2017-04-24 09:00:00","自营"
"110","2017","4","","474.2400","粘胶","管理员","2017-04-22 23:00:01","管理员","2017-04-24 09:00:00","自营"
"109","2017","4","","3334.5600","粘胶","管理员","2017-04-22 23:00:01","管理员","2017-04-24 09:00:00","撮合"
"108","2017","4","","27.5140","瓶片","管理员","2017-04-22 23:00:01","管理员","2017-04-24 09:00:00","自营"
"107","2017","4","","6850.8000","瓶片","管理员","2017-04-22 23:00:01","管理员","2017-04-24 09:00:00","撮合"
"106","2017","4","","808.4640","涤纶丝","管理员","2017-04-22 23:00:01","管理员","2017-04-24 09:00:00","自营"
"105","2017","4","","40487.6868","涤纶丝","管理员","2017-04-22 23:00:01","管理员","2017-04-24 09:00:00","撮合"
"104","2017","4","","10277.0000","原料","管理员","2017-04-22 23:00:01","管理员","2017-04-24 09:00:00","自营"
"103","2017","4","","78338.0000","原料","管理员","2017-04-22 23:00:01","管理员","2017-04-24 09:00:00","撮合"
"102","2017","4","","16504.7000","PET","管理员","2017-04-22 23:00:01","管理员","2017-04-24 09:00:00","自营"
"101","2017","4","","85646.0610","PET","管理员","2017-04-22 23:00:01","管理员","2017-04-24 09:00:00","撮合"
"100","2017","4","","-57.6000","辅料","","2017-04-20 17:00:00","","2017-04-22 22:00:00",""
"99","2017","4","","4727.6400","涤纶短纤","","2017-04-13 15:00:00","","2017-04-22 22:00:00",""
"98","2017","4","","68.0000","配件","","2017-04-12 17:00:00","","2017-04-22 22:00:00",""
"97","2017","4","","6850.8000","聚酯瓶片","","2017-04-12 14:00:00","","2017-04-22 22:00:00",""
"96","2017","4","","8798.0308","粘胶","","2017-04-12 11:00:00","","2017-04-22 22:00:00",""
"95","2017","4","","52.6570","再生化纤","","2017-04-06 17:00:00","","2017-04-22 22:00:00",""
"94","2017","4","","329.0000","邦帮订","","2017-04-06 11:00:00","","2017-04-22 22:00:00",""
"93","2017","4","","99369.0000","原料","","2017-04-05 14:00:00","","2017-04-22 22:00:00",""
"92","2017","4","","41695.8415","涤纶丝","","2017-04-01 13:00:00","","2017-04-22 22:00:00",""
"91","2017","4","","126871.4410","PET","","2017-04-01 10:00:00","","2017-04-22 22:00:00",""
"90","2017","3","","682.0000","邦帮订","","2017-03-13 17:00:00","","2017-03-31 23:00:00",""
"89","2017","3","","480.6000","辅料","","2017-03-10 19:00:00","","2017-03-31 23:00:00",""
"88","2017","3","","200.0000","配件","","2017-03-10 18:00:00","","2017-03-31 23:00:00",""
"87","2017","3","","9375.0000","聚酯瓶片","","2017-03-07 15:00:00","","2017-03-31 23:00:00",""
"86","2017","3","","84.0030","再生化纤","","2017-03-06 12:00:00","","2017-03-31 23:00:00",""
"85","2017","3","","186776.1500","原料","","2017-03-01 16:00:00","","2017-03-31 23:00:00",""
"84","2017","3","","57105.2192","涤纶丝","","2017-03-01 11:00:00","","2017-03-31 23:00:00",""
"83","2017","3","","162737.6717","PET","","2017-03-01 10:00:00","","2017-03-31 23:00:00",""
"82","2017","3","","15825.9639","粘胶","","2017-03-01 09:00:00","","2017-03-31 23:00:00",""
"81","2017","2","","66.0000","聚酯瓶片","","2017-02-27 23:00:00","","2017-02-28 23:00:00",""
"80","2017","2","","996.7358","粘胶","","2017-02-27 23:00:00","","2017-02-28 23:00:00",""
"79","2017","2","","29628.9299","涤纶丝","","2017-02-27 23:00:00","","2017-02-28 23:00:00",""
"78","2017","2","","111511.4840","原料","","2017-02-27 23:00:00","","2017-02-28 23:00:00",""
"77","2017","2","","163.6762","再生化纤","","2017-02-27 23:00:00","","2017-02-28 23:00:00",""
"76","2017","2","","74395.9330","PET","","2017-02-27 23:00:00","","2017-02-28 23:00:00",""
"75","2017","12","693700.0000","","TOTAL","admin","2017-02-27 13:48:50","任丹","2017-03-01 14:24:12",""
"74","2017","11","659600.0000","","TOTAL","admin","2017-02-27 13:48:50","任丹","2017-03-01 14:24:12",""
"73","2017","10","628200.0000","","TOTAL","admin","2017-02-27 13:48:50","任丹","2017-03-01 14:24:12",""
"72","2017","9","598300.0000","","TOTAL","admin","2017-02-27 13:48:50","任丹","2017-03-01 14:24:12",""
"71","2017","8","569800.0000","","TOTAL","admin","2017-02-27 13:48:50","任丹","2017-03-01 14:24:12",""
"70","2017","7","542700.0000","","TOTAL","admin","2017-02-27 13:48:50","任丹","2017-03-01 14:24:12",""
"69","2017","6","516900.0000","","TOTAL","admin","2017-02-27 13:48:50","任丹","2017-03-01 14:24:12",""
"68","2017","5","492300.0000","","TOTAL","admin","2017-02-27 13:48:50","任丹","2017-03-01 14:24:12",""
"67","2017","4","468900.0000","288704.8103","TOTAL","admin","2017-02-27 13:48:50","任丹","2017-04-22 22:00:00",""
"66","2017","3","416300.0000","433266.6078","TOTAL","admin","2017-02-27 13:48:50","任丹","2017-03-31 23:00:00",""
"65","2017","2","168000.0000","216762.7589","TOTAL","admin","2017-02-27 13:48:50","任丹","2017-03-01 14:24:12",""
"64","2017","1","256000.0000","","TOTAL","admin","2017-02-27 13:48:50","任丹","2017-03-01 14:24:12",""
