"id","loan_order_id","rate","amount","loan_amount","interest_date","created_time","created_by","active","interest_type"
"257139","RZ20170728003","0.007000","2445.2437","1497088.0000","2017-07-28","2017-07-28 18:30:03","system","1","七天全额计息"
"257138","RZ20170728002","0.010000","3493.2053","1497088.0000","2017-07-28","2017-07-28 18:30:03","system","1","七天全额计息"
"257180","RZ20170728001","0.007000","8181.3732","195035.6800","2017-07-28","2017-07-28 18:30:03","system","1","七天全额计息"
"256518","RZ20170727005","0.007000","13735.6800","8409600.0000","2017-07-27","2017-07-27 23:50:03","system","1","七天全额计息"
"256517","RZ20170727004","0.007000","11446.4000","7008000.0000","2017-07-27","2017-07-27 23:50:03","system","1","七天全额计息"
"256516","RZ20170727003","0.010000","16352.0000","7008000.0000","2017-07-27","2017-07-27 23:50:03","system","1","七天全额计息"
"256515","RZ20170727002","0.010000","19622.4000","8409600.0000","2017-07-27","2017-07-27 23:50:02","system","1","七天全额计息"
"257048","RZ20170727001","","15015.0000","5009004.0000","2017-07-28","2017-07-28 09:53:24","system","1","固定利息"
"257015","RZ20170726001","0.007000","6761.2160","4139520.0000","2017-07-28","2017-07-28 18:30:03","system","1","七天全额计息"
"254048","RZ20170725007","0.007000","5880.0000","3600000.0000","2017-07-25","2017-07-25 23:50:03","system","1","七天全额计息"
"254047","RZ20170725006","0.007000","8820.0000","5400000.0000","2017-07-25","2017-07-25 23:50:03","system","1","七天全额计息"
"257014","RZ20170725005","0.008000","7727.1040","4139520.0000","2017-07-28","2017-07-28 18:30:03","system","1","七天全额阶梯计息"
"254046","RZ20170725004","0.010000","12603.3600","5401440.0000","2017-07-25","2017-07-25 23:50:03","system","1","七天全额计息"
"254045","RZ20170725003","0.010000","8402.2400","3600960.0000","2017-07-25","2017-07-25 23:50:03","system","1","七天全额计息"
"254044","RZ20170725002","0.010000","8400.0000","3600000.0000","2017-07-25","2017-07-25 23:50:03","system","1","七天全额计息"
"254043","RZ20170725001","0.010000","12600.0000","5400000.0000","2017-07-25","2017-07-25 23:50:03","system","1","七天全额计息"
"252856","RZ20170724006","0.006000","5880.0000","4200000.0000","2017-07-24","2017-07-24 23:50:04","system","1","七天全额计息"
"252855","RZ20170724005","0.006000","6720.0000","4800000.0000","2017-07-24","2017-07-24 23:50:04","system","1","七天全额计息"
"252854","RZ20170724002","0.010000","9800.0000","4200000.0000","2017-07-24","2017-07-24 23:50:04","system","1","七天全额计息"
"252853","RZ20170724001","0.010000","11200.0000","4800000.0000","2017-07-24","2017-07-24 23:50:04","system","1","七天全额计息"
"257013","RZ20170720002","0.006000","3998.7200","19993600.0000","2017-07-28","2017-07-28 18:30:03","system","1","七天全额计息"
"256378","RZ20170720002","0.006000","3998.7200","19993600.0000","2017-07-27","2017-07-27 23:50:02","system","1","七天全额计息"
"249110","RZ20170720002","0.006000","27991.0400","19993600.0000","2017-07-20","2017-07-20 23:50:04","system","1","七天全额计息"
"257012","RZ20170720001","0.008000","5331.6267","19993600.0000","2017-07-28","2017-07-28 18:30:03","system","1","七天全额阶梯计息"
"256377","RZ20170720001","0.008000","5331.6267","19993600.0000","2017-07-27","2017-07-27 23:50:02","system","1","七天全额阶梯计息"
"249109","RZ20170720001","0.008000","37321.3867","19993600.0000","2017-07-20","2017-07-20 23:50:04","system","1","七天全额阶梯计息"
"256384","RZ20170719005","0.006000","1001.8008","5009004.0000","2017-07-27","2017-07-27 08:51:29","system","1","按天计息"
"256383","RZ20170719005","0.006000","1001.8008","5009004.0000","2017-07-26","2017-07-27 08:51:29","system","1","按天计息"
"256382","RZ20170719005","0.006000","7012.6056","5009004.0000","2017-07-19","2017-07-27 08:51:29","system","1","七天全额计息"
"257011","RZ20170719004","0.007000","815.3600","3494400.0000","2017-07-28","2017-07-28 18:30:03","system","1","七天全额计息"
"249562","RZ20170719004","0.007000","6522.8800","3993600.0000","2017-07-21","2017-07-21 23:50:04","system","1","七天全额计息"
"247965","RZ20170719003","","15015.0000","5009004.0000","2017-07-19","2017-07-19 17:44:40","system","1","固定利息"
"257010","RZ20170719002","0.008000","931.8400","3494400.0000","2017-07-28","2017-07-28 18:30:03","system","1","七天全额阶梯计息"
"253098","RZ20170719002","0.008000","7454.7200","3993600.0000","2017-07-21","2017-07-24 18:06:58","system","1","七天全额阶梯计息"
"247072","RZ20170719001","0.006000","6634.2276","4738734.0000","2017-07-19","2017-07-19 15:00:06","system","1","七天全额计息"
"257009","RZ20170718003","0.006000","477.7968","2388984.0000","2017-07-28","2017-07-28 18:30:03","system","1","七天全额计息"
"256514","RZ20170718003","0.006000","477.7968","2388984.0000","2017-07-27","2017-07-27 23:50:02","system","1","七天全额计息"
"256513","RZ20170718003","0.006000","477.7968","2388984.0000","2017-07-26","2017-07-27 13:29:23","system","1","七天全额计息"
"256512","RZ20170718003","0.006000","477.7968","2388984.0000","2017-07-25","2017-07-27 13:29:23","system","1","七天全额计息"
"256511","RZ20170718003","0.006000","3344.5776","2388984.0000","2017-07-18","2017-07-27 13:29:23","system","1","七天全额计息"
"257008","RZ20170718002","0.006000","315.0000","1575000.0000","2017-07-28","2017-07-28 18:30:02","system","1","七天全额计息"
"256375","RZ20170718002","0.006000","409.5000","2047500.0000","2017-07-27","2017-07-27 23:50:02","system","1","七天全额计息"
"249068","RZ20170718002","0.006000","3528.0000","2520000.0000","2017-07-20","2017-07-20 23:50:04","system","1","七天全额计息"
"257007","RZ20170718001","0.008000","637.0624","2388984.0000","2017-07-28","2017-07-28 18:30:02","system","1","七天全额阶梯计息"
"256510","RZ20170718001","0.008000","637.0624","2388984.0000","2017-07-27","2017-07-27 23:50:02","system","1","七天全额阶梯计息"
"256509","RZ20170718001","0.008000","637.0624","2388984.0000","2017-07-26","2017-07-27 13:29:23","system","1","七天全额阶梯计息"
"256508","RZ20170718001","0.008000","637.0624","2388984.0000","2017-07-25","2017-07-27 13:29:23","system","1","七天全额阶梯计息"
"256507","RZ20170718001","0.008000","4459.4368","2388984.0000","2017-07-18","2017-07-27 13:29:23","system","1","七天全额阶梯计息"
"245561","RZ20170717005","0.006000","6634.2276","2738734.0000","2017-07-17","2017-07-17 23:50:04","system","1","七天全额计息"
"247071","RZ20170717004","","15015.0000","4738734.0000","2017-07-19","2017-07-19 10:13:39","system","1","固定利息"
"257179","RZ20170717003","0.008000","420.0000","1575000.0000","2017-07-28","2017-07-28 18:30:02","system","1","七天全额计息"
"257178","RZ20170717003","0.008000","546.0000","2047500.0000","2017-07-27","2017-07-28 14:55:03","system","1","七天全额计息"
"257177","RZ20170717003","0.008000","4704.0000","2520000.0000","2017-07-20","2017-07-28 14:55:03","system","1","七天全额计息"
"245560","RZ20170717002","","15015.0000","4738734.0000","2017-07-17","2017-07-17 15:01:54","system","1","固定利息"
"257005","RZ20170717001","0.006000","491.2000","2456000.0000","2017-07-28","2017-07-28 18:30:02","system","1","七天全额计息"
"256372","RZ20170717001","0.006000","491.2000","2456000.0000","2017-07-27","2017-07-27 23:50:02","system","1","七天全额计息"
"254932","RZ20170717001","0.006000","491.2000","2456000.0000","2017-07-26","2017-07-26 23:50:03","system","1","七天全额计息"
"253484","RZ20170717001","0.006000","491.2000","2456000.0000","2017-07-25","2017-07-25 23:50:03","system","1","七天全额计息"
"251126","RZ20170717001","0.006000","491.2000","2456000.0000","2017-07-24","2017-07-24 23:50:04","system","1","七天全额计息"
"244757","RZ20170717001","0.006000","3438.4000","2456000.0000","2017-07-17","2017-07-17 23:50:04","system","1","七天全额计息"
"256486","RZ20170714001","0.007000","103.6000","444000.0000","2017-07-26","2017-07-27 11:28:36","system","1","七天全额计息"
"256485","RZ20170714001","0.007000","103.6000","444000.0000","2017-07-25","2017-07-27 11:28:36","system","1","七天全额计息"
"256484","RZ20170714001","0.007000","103.6000","444000.0000","2017-07-24","2017-07-27 11:28:36","system","1","七天全额计息"
"256483","RZ20170714001","0.007000","103.6000","444000.0000","2017-07-23","2017-07-27 11:28:36","system","1","七天全额计息"
"256482","RZ20170714001","0.007000","103.6000","444000.0000","2017-07-22","2017-07-27 11:28:36","system","1","七天全额计息"
