id	loan_order_id	lender_feedback	lender_remark	lender_interest_type	lender_interest	lender_interest_rate	allow_extension_days	interest_type	interest	interest_rate	sale_reply	reply_time	feedback	sale_remark	remark	extension_days	status	create_by	update_by	create_time	update_time	lender_loan_order_id	begin_date	bpm_time
367	RZ20170517001	同意	与资金方已做延期申请至6-30日前款清	按天计息		0.006	15	按天计息		0.01	同意	2017/6/27 10:10	同意			15	3	石金辉	任丹	2017/6/20 10:35	2017/6/27 10:10	RZ20170517002	2017/6/16	2017/6/22 14:22
380	RZ20170614008	同意	延期不能超过20天	按天计息		0.006	20	按天计息		0.01	同意	2017/7/14 9:53	同意			15	3	石金辉	任丹	2017/7/7 8:38	2017/7/14 9:53	RZ20170614009	2017/7/14	2017/7/13 15:37
387	RZ20170705007	同意		按天计息		0.006	7	按天计息		0.01	同意	2017/7/14 13:13	同意	豪烨的延期15天后的算千分之十，具体时间延期至7月24日。		7	3	石金辉	赵佳达	2017/7/14 8:57	2017/7/14 13:13	RZ20170705018	2017/7/17	2017/7/14 9:23
406	RZ20170629002	同意		按天计息		0.006	15	按天计息		0.01	同意	2017/7/27 10:51	同意		延期尽量不超过15天	15	3	石金辉	沈恩典	2017/7/21 10:13	2017/7/27 10:51	RZ20170629014	2017/7/29	2017/7/27 10:34
420	RZ20170703005	同意	已沟通纺织物流，尽量在11号之前还清	按天计息		0.006	10	按天计息		0.01	同意	2017/7/28 14:30	同意		11号前务必还清	10	3	石金辉	任丹	2017/7/25 8:51	2017/7/28 14:30	RZ20170703012	2017/8/2	2017/7/28 14:29
421	RZ20170719003	同意		按天计息		0.006	23	按天计息		0.01	同意	2017/7/27 8:40	同意			23	3	石金辉	石成飞	2017/7/25 10:44	2017/7/27 8:40	RZ20170719005	2017/7/26	2017/7/26 21:39
																								
																								
																								
	2017/6/29																							
	RZG20170629004	RZG20170703003																						
	RZ20170629002	RZ20170703005	RZ20170719003																					
	RZ20170629014	RZ20170703012	RZ20170719005																					
